i: 5, j: 5, k: 5, learn: 0.01, lambda: 1, h1: Tanh(), h2: Tanh()
Epoch: 65 	Training Cost: 12140.977539	 Val Cost: 247755.260715	 Valid Acc: 0.698278295230031
Epoch: 66 	Training Cost: 12131.039062	 Val Cost: 247612.866815	 Valid Acc: 0.6974315551792266
Epoch: 67 	Training Cost: 12144.020508	 Val Cost: 247413.729578	 Valid Acc: 0.6960203217612193
Epoch: 68 	Training Cost: 12133.824219	 Val Cost: 246765.961428	 Valid Acc: 0.6985605419136325
Epoch: 69 	Training Cost: 12128.845703	 Val Cost: 246663.775009	 Valid Acc: 0.696725938470223
i: 10, j: 10, k: 5, learn: 0.01, lambda: 1, h1: Tanh(), h2: Tanh()
Epoch: 0 	Training Cost: 14310.426758	 Val Cost: 373443.091585	 Valid Acc: 0.5276601749929438
Epoch: 1 	Training Cost: 14126.851562	 Val Cost: 369039.808819	 Valid Acc: 0.54614733276884
Epoch: 2 	Training Cost: 13934.474609	 Val Cost: 363916.083932	 Valid Acc: 0.5674569573807507
Epoch: 3 	Training Cost: 13703.320312	 Val Cost: 357565.895727	 Valid Acc: 0.5804403048264183
Epoch: 4 	Training Cost: 13431.235352	 Val Cost: 350457.689677	 Valid Acc: 0.5948348856900931
Epoch: 5 	Training Cost: 13158.648438	 Val Cost: 344040.048243	 Valid Acc: 0.6064069997177534
Epoch: 6 	Training Cost: 12935.408203	 Val Cost: 339232.851319	 Valid Acc: 0.6184024837708157
Epoch: 7 	Training Cost: 12777.362305	 Val Cost: 335991.452284	 Valid Acc: 0.6230595540502399
Epoch: 8 	Training Cost: 12674.176758	 Val Cost: 333902.263436	 Valid Acc: 0.6229184307084392
Epoch: 9 	Training Cost: 12610.132812	 Val Cost: 332569.676172	 Valid Acc: 0.6213660739486311
Epoch: 10 	Training Cost: 12572.854492	 Val Cost: 331706.274842	 Valid Acc: 0.6216483206322325
Epoch: 11 	Training Cost: 12554.621094	 Val Cost: 331115.293612	 Valid Acc: 0.6209427039232289
Epoch: 12 	Training Cost: 12551.821289	 Val Cost: 330648.012082	 Valid Acc: 0.6216483206322325
Epoch: 13 	Training Cost: 12565.083984	 Val Cost: 330144.607558	 Valid Acc: 0.6222128139994355
Epoch: 14 	Training Cost: 12600.641602	 Val Cost: 329323.370595	 Valid Acc: 0.6233418007338414
Epoch: 15 	Training Cost: 12678.844727	 Val Cost: 327392.524773	 Valid Acc: 0.625176404177251
Epoch: 16 	Training Cost: 12808.615234	 Val Cost: 321665.299879	 Valid Acc: 0.6298334744566751
Epoch: 17 	Training Cost: 13071.953125	 Val Cost: 316431.285525	 Valid Acc: 0.6377363815975162
Epoch: 18 	Training Cost: 13042.020508	 Val Cost: 311652.541822	 Valid Acc: 0.6412644651425345
Epoch: 19 	Training Cost: 13035.238281	 Val Cost: 307242.136487	 Valid Acc: 0.6488851255997742
Epoch: 20 	Training Cost: 12979.274414	 Val Cost: 303660.399497	 Valid Acc: 0.6556590460062094
Epoch: 21 	Training Cost: 12907.238281	 Val Cost: 301311.672215	 Valid Acc: 0.659046006209427
Epoch: 22 	Training Cost: 13141.609375	 Val Cost: 296970.417184	 Valid Acc: 0.6608806096528366
Epoch: 23 	Training Cost: 13196.519531	 Val Cost: 294277.404601	 Valid Acc: 0.6649731865650579
Epoch: 24 	Training Cost: 13008.378906	 Val Cost: 290186.396071	 Valid Acc: 0.663279706463449
Epoch: 25 	Training Cost: 12971.618164	 Val Cost: 288068.348139	 Valid Acc: 0.6679367767428732
Epoch: 26 	Training Cost: 12871.831055	 Val Cost: 284775.190408	 Valid Acc: 0.674428450465707
Epoch: 27 	Training Cost: 12812.386719	 Val Cost: 282840.600782	 Valid Acc: 0.6754163138583121
Epoch: 28 	Training Cost: 12721.751953	 Val Cost: 281455.746583	 Valid Acc: 0.6754163138583121
Epoch: 29 	Training Cost: 12676.679688	 Val Cost: 279638.898757	 Valid Acc: 0.6799322607959356
Epoch: 30 	Training Cost: 12656.153320	 Val Cost: 278107.213181	 Valid Acc: 0.6824724809483489
Epoch: 31 	Training Cost: 12585.436523	 Val Cost: 275803.747251	 Valid Acc: 0.6843070843917584
